,player,career_start,career_end,games,games_started,completions,passing_attempts,incompletions,completion_%,passing_yards,passing_tds,interceptions,pick_6s,touchdown_%,int_%,passer_rating,sacks_taken,sack_yards,sack_%,passing_yards_per_attempt,adjusted_passing_yards_per_attempt,adjusted_net_passing_yards_per_attempt,passing_yards_per_completion,passing_yards_per_game,pass_success_rate,wins,losses,ties,fourth_quarter_comebacks,game_winning_drives,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,rushing_yards_per_game,rushing_first_downs,rush_success_rate,pro_bowls,first_team_all_pros,super_bowls,hall_of_fame,hall_of_fame_eligible,16_games,winning_%,passing_yards_per_16_games,passing_attempts_per_16_games,passing_tds_per_16_games,int_per_16_games,pick_6_per_16_games,sacks_per_16_games,sacks_yards_per_16_games,wins_per_16_games,losses_per_16_games,ties_per_16_games,fourth_quarter_comebacks_per_16_games,game_winning_drives_per_16_games,rushing_yards_per_16_games,rushing_tds_per_16_games,rushing_first_downs_per_16_games,pro_bowls_per_16_games,first_team_all_pros_per_16_games,super_bowls_per_16_games
153,Drake Maye,2024,2024,0.031413612565445025,0.031496062992125984,0.025131240924829667,0.024192971154534393,0.022518931845356718,0.6659999999999999,0.022199267170811568,0.020352781546811395,0.0273224043715847,0.0,0.08800000000000001,0.03,0.5565382185723309,0.052631578947368425,0.04270794479671765,0.09140000000000001,0.2026315789473684,0.6254878048780488,0.6109756097560977,0.1353658536585366,0.6128027681660899,0.46,0.01048951048951049,0.07142857142857142,0.0,0.0,0.0,0.04572396274343776,0.09486054084666573,0.4540540540540541,0.025974025974025976,0.6296296296296297,0.047619047619047616,0.648,0.06666666666666667,0.0,0.0,0.0,0.0,0.0314070351758794,0.25,0.614600603963157,0.6588666256138189,0.5288406624785836,0.1235,0.614600603963157,0.3148578714467861,0.3141333333333334,0.22195560887822435,0.6664667066586681,0.0,0.0,0.0,0.6307445201812355,0.14817036592681462,0.3148578714467861,0.8482758620689655,0.0,0.0
156,Gardner Minshew II,2019,2024,0.15706806282722513,0.12073490813648294,0.12219367809672735,0.123756352444349,0.12654444001594262,0.633,0.11647306462929757,0.09226594301221167,0.09289617486338798,0.05555555555555555,0.078,0.02,0.5590650663297536,0.20743034055727555,0.1381947034688549,0.0719,0.20789473684210527,0.6318292682926829,0.6210975609756098,0.1451219512195122,0.6847750865051904,0.435,0.05944055944055944,0.23015873015873015,0.0,0.12727272727272726,0.09722222222222221,0.1414055884843353,0.1311057624238992,0.35405405405405405,0.06493506493506494,0.35759897828863346,0.09740259740259741,0.40700000000000003,0.06666666666666667,0.0,0.0,0.0,0.0,0.15703517587939697,0.37,0.6851998763539994,0.716545876557245,0.5097087378640777,0.0892,0.6851998763539994,0.2637815945398635,0.21610000000000001,0.2675464907018596,0.4565086982603479,0.0,0.11037792441511697,0.11037792441511697,0.35740484733220923,0.07858428314337132,0.2637815945398635,0.17931034482758623,0.0,0.0
163,Brock Purdy,2022,2024,0.11780104712041885,0.11023622047244094,0.09259466100748352,0.08875527879178298,0.08190514149063373,0.669,0.10586068449364622,0.09497964721845319,0.07650273224043716,0.027777777777777776,0.11199999999999999,0.023,0.655085281111813,0.12074303405572756,0.08131294293174189,0.0592,0.2578947368421053,0.6569512195121952,0.6465853658536586,0.17195121951219514,0.8238754325259515,0.511,0.0944055944055944,0.11904761904761904,0.0,0.05454545454545454,0.06944444444444445,0.12531752751905165,0.11708905564207844,0.34864864864864864,0.1168831168831169,0.3767560664112388,0.13203463203463203,0.534,0.06666666666666667,0.0,0.0,0.0,0.0,0.11809045226130652,0.64,0.8223993809053394,0.6798351570271421,0.6941747572815533,0.09720000000000001,0.8223993809053394,0.20310507762694063,0.1682111111111111,0.5626874625074985,0.31253749250149965,0.0,0.0623875224955009,0.10437912417516496,0.375784115517696,0.18716256748650267,0.20310507762694063,0.2413793103448276,0.0,0.0
167,C.J. Stroud,2023,2024,0.09162303664921466,0.09448818897637795,0.08164860940466882,0.08202705604466394,0.08270227182144281,0.638,0.08588329305371482,0.06377204884667571,0.04918032786885246,0.0,0.08199999999999999,0.016,0.5963360707517372,0.1563467492260062,0.1525550167847818,0.081,0.22894736842105262,0.6439024390243903,0.6281707317073171,0.1597560975609756,0.8539792387543254,0.44700000000000006,0.07342657342657342,0.11904761904761904,0.0,0.03636363636363636,0.06944444444444445,0.09060118543607112,0.10519609231204871,0.3675675675675676,0.03896103896103896,0.3908045977011494,0.07792207792207792,0.45799999999999996,0.06666666666666667,0.0,0.0,0.0,0.0,0.09170854271356783,0.58,0.8537043001571515,0.8042094958394517,0.5965162764134779,0.08,0.8537043001571515,0.3366834170854271,0.40395555555555557,0.5596880623875224,0.400119976004799,0.0,0.05338932213557288,0.1331733653269346,0.3908631064159628,0.07978404319136172,0.3366834170854271,0.30344827586206896,0.0,0.0
168,Tua Tagovailoa,2020,2024,0.16753926701570682,0.1653543307086614,0.15715402658326819,0.14859351513850116,0.13332004782781987,0.6779999999999999,0.15306579870585485,0.13704206241519673,0.12295081967213115,0.1388888888888889,0.098,0.022000000000000002,0.6146557169930511,0.17492260061919507,0.14677359194330475,0.0516,0.2263157894736842,0.6409756097560976,0.6318292682926829,0.14878048780487804,0.8429065743944637,0.499,0.13286713286713286,0.1984126984126984,0.0,0.14545454545454545,0.1388888888888889,0.13209144792548688,0.09967435933739205,0.32162162162162167,0.07792207792207792,0.3052362707535121,0.09090909090909091,0.385,0.06666666666666667,0.0,0.0,0.0,0.0,0.16750418760469007,0.6,0.8433781297893911,0.8073674071968798,0.7104511707595659,0.11080000000000001,0.8433781297893911,0.20873021825545635,0.21537777777777778,0.561487702459508,0.36952609478104376,0.0,0.11817636472705458,0.1475704859028194,0.3049679961003987,0.08878224355128973,0.20873021825545635,0.1724137931034483,0.0,0.0
171,Ryan Tannehill,2012,2023,0.4162303664921466,0.4094488188976378,0.34982687367362897,0.34886550712189535,0.3471502590673575,0.643,0.3472850237779684,0.3025780189959294,0.32786885245901637,0.2777777777777778,0.092,0.025,0.5754895767530005,0.653250773993808,0.581685938082805,0.0797,0.21842105263157893,0.635609756097561,0.6214634146341463,0.15121951219512197,0.7775086505190312,0.454,0.2902097902097902,0.5793650793650793,0.0,0.4727272727272727,0.375,0.3878069432684166,0.34050686677049413,0.37027027027027026,0.36363636363636365,0.388250319284802,0.35714285714285715,0.504,0.06666666666666667,0.0,0.0,0.0,0.0,0.4162479061976549,0.53,0.7775063714438264,0.7695829978052515,0.6367789834380354,0.12,0.7775063714438264,0.3165079126978174,0.3465555555555555,0.4979004199160168,0.4379124175164966,0.0,0.15596880623875223,0.16196760647870426,0.38769867589359197,0.16796640671865623,0.3165079126978174,0.06896551724137932,0.0,0.0
172,Tyrod Taylor,2011,2024,0.24607329842931938,0.1548556430446194,0.12308723332961019,0.12805096270846753,0.13690713431646076,0.616,0.12074140484914633,0.09226594301221167,0.08196721311475409,0.05555555555555555,0.076,0.017,0.5559065066329754,0.2770897832817338,0.19041402461767998,0.091,0.20789473684210527,0.6332926829268293,0.6192682926829269,0.14878048780487804,0.4581314878892734,0.42,0.0979020979020979,0.23015873015873015,0.1111111111111111,0.09090909090909091,0.08333333333333333,0.35055038103302283,0.3620274670819765,0.3945945945945946,0.24675324675324678,0.5261813537675607,0.28354978354978355,0.469,0.06666666666666667,0.0,0.14285714285714285,0.0,0.0,0.24623115577889446,0.48,0.4580198049765354,0.4755498713151121,0.3269560251284979,0.050499999999999996,0.4580198049765354,0.2259806495162379,0.19098888888888887,0.2825434913017396,0.29274145170965804,0.05263157894736843,0.050389922015596875,0.06058788242351529,0.5259027816622849,0.1919616076784643,0.2259806495162379,0.11724137931034484,0.0,0.010197960407918417
176,Mitchell Trubisky,2017,2024,0.21204188481675393,0.1548556430446194,0.14118172679548754,0.14100637033855842,0.14069350338780393,0.642,0.1288200670460747,0.10312075983717774,0.13114754098360656,0.0,0.078,0.024,0.5445356917245735,0.2043343653250774,0.154419992540097,0.06280000000000001,0.2026315789473684,0.6265853658536585,0.6169512195121951,0.1402439024390244,0.5647058823529412,0.45299999999999996,0.10839160839160839,0.2222222222222222,0.0,0.09090909090909091,0.1111111111111111,0.2260795935647756,0.20345462268158004,0.3621621621621622,0.16883116883116883,0.40102171136653897,0.18398268398268397,0.457,0.06666666666666667,0.0,0.0,0.0,0.0,0.21189279731993296,0.53,0.5652221845135545,0.6075347764988236,0.4237578526556253,0.09380000000000001,0.5652221845135545,0.19335483387084676,0.1796888888888889,0.36292741451709654,0.32813437312537486,0.0,0.058788242351529685,0.09358128374325134,0.40082786616696364,0.15236952609478102,0.19335483387084676,0.13793103448275865,0.0,0.0
177,Carson Wentz,2016,2024,0.2565445026178011,0.24934383202099736,0.2329945269741986,0.23842244649631378,0.24810681546432842,0.626,0.21843572152490842,0.20759837177747623,0.1830601092896175,0.08333333333333333,0.092,0.02,0.5634870499052431,0.3777089783281734,0.29019022752704215,0.0683,0.2026315789473684,0.6309756097560976,0.6201219512195122,0.1426829268292683,0.7903114186851211,0.451,0.16433566433566432,0.373015873015873,0.1111111111111111,0.21818181818181817,0.18055555555555555,0.3022861981371719,0.23601868894237577,0.35135135135135137,0.14285714285714288,0.3984674329501916,0.2748917748917749,0.538,0.06666666666666667,0.0,0.14285714285714285,0.0,0.0,0.25670016750418756,0.49,0.7899012345145273,0.8496834193864177,0.7058823529411764,0.1082,0.7899012345145273,0.29565739143478587,0.2793,0.45530893821235746,0.45530893821235746,0.04953560371517028,0.11637672465506897,0.1259748050389922,0.3984705252475208,0.10677864427114576,0.29565739143478587,0.11034482758620691,0.0,0.009598080383923215
180,Jameis Winston,2015,2024,0.274869109947644,0.22834645669291337,0.21724561599463868,0.22754276716054683,0.24591470705460344,0.612,0.2366395104077337,0.21031207598371776,0.30327868852459017,0.38888888888888884,0.098,0.035,0.5470625394819961,0.3390092879256966,0.2558746736292428,0.0644,0.2263157894736842,0.6346341463414634,0.6241463414634146,0.16463414634146342,0.7996539792387544,0.469,0.1258741258741259,0.40476190476190477,0.0,0.18181818181818182,0.20833333333333331,0.27349703640982215,0.2188871584312615,0.35135135135135137,0.15584415584415584,0.3716475095785441,0.24025974025974026,0.443,0.06666666666666667,0.0,0.0,0.0,0.0,0.2747068676716918,0.41,0.8000566350562351,0.7582303064752971,0.6684751570531124,0.1677,0.8000566350562351,0.24810620265506633,0.23027777777777778,0.32633473305338934,0.4619076184763047,0.0,0.09058188362327534,0.1361727654469106,0.3719724151157494,0.10857828434313137,0.24810620265506633,0.10344827586206896,0.0,0.0
184,Brandon Allen,2019,2024,0.04450261780104712,0.026246719160104987,0.018541271082318775,0.020972013456445494,0.025308888003188524,0.5670000000000001,0.017658065019100333,0.014925373134328356,0.02185792349726776,0.0,0.076,0.027000000000000003,0.4813644977890082,0.03560371517027864,0.027042148452070123,0.0728,0.18947368421052632,0.6182926829268294,0.6076829268292684,0.1451219512195122,0.3550173010380623,0.364,0.006993006993006993,0.06349206349206349,0.0,0.01818181818181818,0.027777777777777776,0.030482641828958507,0.04488177828118363,0.2945945945945946,0.0,0.26436781609195403,0.023809523809523808,0.389,0.0,0.0,0.0,0.0,0.0,0.04438860971524288,0.2,0.3565414570773285,0.4130705951083953,0.280411193603655,0.0714,0.3565414570773285,0.15405385134628363,0.14384444444444444,0.10737852429514096,0.42831433713257344,0.0,0.05338932213557288,0.10737852429514096,0.26392629114359,0.0,0.15405385134628363,0.0,0.0,0.0
185,Kyle Allen,2018,2024,0.07853403141361257,0.049868766404199474,0.0493689266167765,0.05046167060339274,0.05241131925069749,0.627,0.04633780307164575,0.035278154681139755,0.05737704918032787,0.027777777777777776,0.07400000000000001,0.03,0.519898926089703,0.09287925696594428,0.09082431928384932,0.0784,0.2026315789473684,0.6236585365853659,0.6100000000000001,0.14390243902439026,0.5373702422145329,0.452,0.024475524475524476,0.09523809523809523,0.0,0.0,0.013888888888888888,0.055038103302286194,0.05819057057907405,0.31081081081081086,0.05194805194805195,0.2822477650063857,0.0367965367965368,0.308,0.0,0.0,0.0,0.0,0.0,0.07872696817420435,0.37,0.5368073824444295,0.5737924936447033,0.3826384922901199,0.1082,0.5368073824444295,0.23198079951998798,0.27892222222222224,0.21655668866226752,0.3713257348530294,0.0,0.0,0.03119376124775045,0.28214573960572475,0.12357528494301138,0.23198079951998798,0.0,0.0,0.0
192,Tyson Bagent,2023,2024,0.020942408376963352,0.010498687664041995,0.01072266279459399,0.010378641471619784,0.00976484655241132,0.662,0.00849770016371716,0.004070556309362279,0.01639344262295082,0.0,0.042,0.040999999999999995,0.4542008843967151,0.007739938080495357,0.006527415143603134,0.0333,0.18421052631578946,0.6042682926829269,0.5996341463414635,0.12317073170731707,0.341522491349481,0.52,0.006993006993006993,0.015873015873015872,0.0,0.0,0.0,0.024555461473327687,0.049695596771909954,0.33783783783783783,0.025974025974025976,0.3601532567049809,0.023809523809523808,0.44799999999999995,0.0,0.0,0.0,0.0,0.0,0.020938023450586263,0.5,0.34303118602886656,0.4088389938894415,0.15305539691604797,0.10710000000000001,0.34303118602886656,0.06697667441686041,0.06944444444444445,0.21415716856628672,0.21415716856628672,0.0,0.0,0.0,0.36096083617679253,0.21415716856628672,0.06697667441686041,0.0,0.0,0.0
196,Matt Barkley,2013,2023,0.049738219895287955,0.01837270341207349,0.023679213671395062,0.025982392097917112,0.030091669988043048,0.584,0.026321431355733997,0.014925373134328356,0.060109289617486336,0.0,0.06,0.061,0.42072015161086534,0.020123839009287926,0.017157776948899667,0.0346,0.22105263157894736,0.6135365853658536,0.6084146341463414,0.16707317073170733,0.4740484429065744,0.48700000000000004,0.006993006993006993,0.03968253968253968,0.0,0.0,0.0,0.022015241320914477,0.03313039784793997,0.22702702702702704,0.0,0.20561941251596424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04983249581239531,0.29,0.47394679331014605,0.4585287290985741,0.251284980011422,0.17600000000000002,0.47394679331014605,0.07800195004875121,0.08177777777777777,0.09598080383923215,0.23995200959808036,0.0,0.0,0.0,0.20582383071894902,0.0,0.07800195004875121,0.0,0.0,0.0
205,C.J. Beathard,2017,2023,0.08115183246073299,0.03412073490813648,0.037976097397520385,0.040297759644978885,0.04444001594260662,0.604,0.03788882825290404,0.025780189959294434,0.03825136612021858,0.027777777777777776,0.068,0.025,0.5186355022109918,0.08204334365325078,0.07459903021260723,0.086,0.20789473684210527,0.6275609756097561,0.6128048780487805,0.15121951219512197,0.4269896193771627,0.42200000000000004,0.01048951048951049,0.07936507936507936,0.0,0.0,0.0,0.05419136325148179,0.07291519184482514,0.3567567567567568,0.05194805194805195,0.3218390804597701,0.04329004329004329,0.484,0.0,0.0,0.0,0.0,0.0,0.0812395309882747,0.23,0.42721206369930675,0.4444760235580187,0.271273557966876,0.07,0.42721206369930675,0.19875496887422184,0.2222222222222222,0.08998200359928013,0.29994001199760045,0.0,0.0,0.0,0.3216931301491917,0.11997600479904018,0.19875496887422184,0.0,0.0,0.0
211,Kurt Benkert,2021,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.949013799017697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.5487804878048781,0.5487804878048781,0.012195121951219513,0.006920415224913495,0.0,0.0,0.0,0.0,0.0,0.0,0.001693480101608806,0.03511255840294492,0.22972972972972974,0.0,0.20306513409961685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007204757344723752,0.0,0.0,0.0,0.007204757344723752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20209204017867843,0.0,0.0,0.0,0.0,0.0
219,David Blough,2019,2022,0.020942408376963352,0.01837270341207349,0.015413827767228862,0.017321594731944744,0.02072538860103627,0.5700000000000001,0.014003664145942153,0.008141112618724558,0.02459016393442623,0.027777777777777776,0.05,0.037000000000000005,0.42387871130764365,0.032507739938080496,0.026855650876538607,0.07980000000000001,0.18157894736842106,0.6067073170731708,0.5954878048780489,0.13902439024390245,0.558477508650519,0.365,0.0,0.05555555555555555,0.0,0.0,0.0,0.011854360711261643,0.04374911510689509,0.35945945945945945,0.0,0.30140485312899107,0.004329004329004329,0.429,0.0,0.0,0.0,0.0,0.0,0.020938023450586263,0.0,0.561125870331661,0.6823299069995105,0.3058252427184466,0.1607,0.561125870331661,0.2812570314257856,0.2857111111111111,0.0,0.7498500299940011,0.0,0.0,0.0,0.30102843991977046,0.0,0.2812570314257856,0.0,0.0,0.0
