Rk,Player,Age,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-
21,Azeem Abdulai,21,41,1587,17.6,15,26,9,6,1,7,6,0,0,0,0.4,0.4,0.2,,0.5,0.6,+0.6,+0.6,+0.8,0.22,20,0.30,0.55,11,55.0,6.1,0,20,0.30,0.55,11,55.0,6.1,0,102,143,71.3,2,2,4,0,10,1534,219,63,76,82.9,28,38,73.7,9,16,56.3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,129,674,232,8,10,1,17,4,142,53,142,53,129,674,232,8,10,1,17,4,196,4,21,63,113,13,196,MF,a0893a41
22,Jalal Abdulai,19,5,241,2.7,2,3,3,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,0.0,0.7,-0.7,-0.7,-0.1,0.13,5,0.00,0.00,1,20.0,11.9,0,5,0.00,0.00,1,20.0,11.9,0,22,40,55.0,2,2,1,0,4,293,58,11,17,64.7,6,12,50.0,2,4,50.0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,40,364,152,6,5,2,6,4,46,8,46,8,40,364,152,6,5,2,6,4,66,2,10,26,33,7,66,FW,44e4dfab
23,Saud Abdulhamid,25,8,380,4.2,4,4,37,1,1,2,1,0,0,0,0.4,0.4,0.8,0.2,0.8,1.2,+0.6,+0.6,+0.2,0.11,4,0.25,1.00,1,25.0,22.1,0,4,0.25,1.00,1,25.0,22.1,0,213,249,85.5,7,10,7,3,16,3116,793,122,131,93.1,81,96,84.4,5,11,45.5,18,13,2,1,0,2,0,1,1,0,0,0,0,0,181,826,374,14,3,5,7,1,194,40,194,40,181,826,374,14,3,5,7,1,287,5,52,118,118,13,287,DF,caa254e4
24,Ahmed Abdullahi,20,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,2,100.0,0,0,0,0,1,31,13,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,5,0,0,0,1,0,2,0,2,0,2,14,5,0,0,0,1,0,4,0,1,3,0,0,4,MF,8073edf4
25,Saminu Abdullahi,23,10,404,4.5,4,6,18,0,1,1,0,0,0,0,0.0,0.0,0.1,,0.0,0.1,0.0,0.0,+0.9,,3,0.00,0.00,1,33.3,,0,3,0.00,0.00,1,33.3,,0,11,17,64.7,1,1,0,0,4,167,44,6,8,75.0,5,8,62.5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,109,58,1,1,0,1,1,16,4,16,4,15,109,58,1,1,0,1,1,23,3,6,9,9,0,23,MF,71311fdb
26,Abel,23,39,2358,26.2,23,16,4,2,0,2,2,0,0,0,0.5,0.5,1.0,,1.5,1.6,+1.5,+1.5,-1.0,0.04,15,0.13,0.40,5,33.3,22.9,0,15,0.13,0.40,5,33.3,22.9,0,776,1071,72.5,16,57,18,13,77,12899,5046,385,439,87.7,315,401,78.6,58,158,36.7,39,29,2,5,0,1,2,4,2,0,1,0,0,1,605,3269,1792,50,44,7,27,18,683,92,683,92,605,3269,1792,50,44,7,27,18,1322,65,370,605,357,19,1322,DF,40b6bd38
27,José Abella,30,34,2524,28.0,28,6,0,0,3,3,0,0,0,0,0.3,0.3,2.0,1.8,2.3,2.4,-0.3,-0.3,+1.0,0.04,8,0.00,0.00,3,37.5,22.4,2,8,0.00,0.00,3,37.5,22.4,2,1106,1468,75.3,31,75,22,18,104,21627,9403,435,496,87.7,496,631,78.6,159,283,56.2,59,42,13,0,1,2,1,6,3,3,0,0,0,0,745,2662,1212,14,18,1,24,8,911,65,911,65,745,2662,1212,14,18,1,24,8,1727,96,546,849,347,22,1727,DF,93f24791
28,Nabil Aberdin,21,11,505,5.6,6,5,8,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.1,0.1,0.0,0.0,0.0,0.02,2,0.00,,0,0.0,31.2,0,2,0.00,,0,0.0,31.2,0,36,61,59.0,1,7,2,0,6,680,267,12,20,60.0,12,19,63.2,8,13,61.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,34,148,74,2,0,0,1,1,36,2,36,2,34,148,74,2,0,0,1,1,87,6,21,56,10,2,87,DF,cadfa7d1
29,Oliver Abildgaard,28,26,851,9.5,7,19,11,0,1,1,0,0,0,0,0.1,0.1,0.5,0.6,0.5,0.6,-0.1,-0.1,+0.5,0.02,7,0.00,0.00,2,28.6,17.7,0,7,0.00,0.00,2,28.6,17.7,0,215,341,63.0,7,24,6,2,42,3536,1307,98,136,72.1,97,145,66.9,14,34,41.2,11,8,0,0,2,1,0,2,1,0,0,1,0,0,148,783,332,1,5,0,10,4,196,6,196,6,148,783,332,1,5,0,10,4,474,41,150,253,74,24,474,MF,8f5cdf66
30,Diego Abitia,21,11,320,3.6,3,8,5,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.0,0.8,-0.4,-0.4,-0.4,0.08,5,0.00,0.00,1,20.0,9.7,0,5,0.00,0.00,1,20.0,9.7,0,48,65,73.8,2,2,1,0,2,618,63,31,39,79.5,14,16,87.5,1,2,50.0,6,2,0,1,1,2,0,1,0,0,0,0,1,0,67,511,152,7,4,3,13,7,77,15,77,15,67,511,152,7,4,3,13,7,100,3,7,46,48,13,100,FW,49dc9833
